 serial number,character,ferquency(pre million)
1,的,40529.65053 
2,一,18584.22740 
3,了,18338.52313 
4,是,16552.88253 
5,不,15728.67333 
6,我,15576.52006 
7,在,10112.07810 
8,人,9711.36013 
9,有,9401.46445 
10,这,9297.05385 
11,他,9269.48478 
12,来,7815.85097 
13,个,7790.77567 
14,你,7491.83756 
15,说,6321.61236 
16,上,6278.32731 
17,到,6060.84321 
18,就,5955.61505 
19,着,5881.75458 
20,大,5704.50126 
21,们,5658.61285 
22,道,5597.32875 
23,那,5230.77726 
24,么,5124.06779 
25,也,5009.00200 
26,地,4637.79956 
27,子,4552.42577 
28,下,4504.44078 
29,出,4369.61702 
30,时,4323.35302 
31,看,4230.19077 
32,要,4185.06620 
33,她,4145.85105 
34,中,4046.13460 
35,没,3982.66910 
36,然,3866.53868 
37,里,3860.94954 
38,为,3850.39917 
39,过,3849.28450 
40,自,3825.32388 
41,好,3824.26241 
42,得,3785.58406 
43,去,3783.55068 
44,可,3723.90645 
45,会,3595.24076 
46,天,3580.79221 
47,还,3569.54334 
48,心,3453.48720 
49,后,3447.48874 
50,以,3436.27674 
51,小,3362.87510 
52,都,3341.33398 
53,和,3293.45012 
54,对,3263.42730 
55,想,3234.72407 
56,能,3125.72732 
57,起,3065.82128 
58,之,2830.79537 
59,手,2674.03382 
60,而,2673.59027 
61,只,2660.32383 
62,生,2616.40084 
63,什,2543.48963 
64,身,2539.03359 
65,头,2535.77124 
66,样,2512.66136 
67,事,2491.32358 
68,多,2432.24932 
69,己,2406.99387 
70,家,2395.14867 
71,面,2387.87752 
72,知,2316.34226 
73,开,2289.82885 
74,如,2269.47404 
75,无,2200.51580 
76,现,2192.00829 
77,很,2104.19234 
78,点,2095.98509 
79,前,2090.18998 
80,发,2079.11388 
81,经,2066.80038 
82,情,2043.38708 
83,把,2000.86533 
84,老,1982.25575 
85,些,1976.56967 
86,话,1972.75051 
87,已,1960.04403 
88,又,1954.48965 
89,声,1933.95521 
90,意,1932.66987 
91,于,1904.30851 
92,回,1900.80489 
93,笑,1884.54001 
94,所,1861.73408 
95,但,1846.50222 
96,眼,1841.26496 
97,成,1832.30969 
98,方,1828.85875 
99,年,1825.53054 
100,见,1823.18742 
101,当,1810.66479 
102,女,1771.37747 
103,真,1746.18102 
104,两,1739.67580 
105,力,1737.64559 
106,气,1700.11614 
107,从,1671.88438 
108,用,1670.14179 
109,长,1633.05220 
110,动,1618.93922 
111,间,1616.13147 
112,国,1613.98642 
113,走,1590.99613 
114,让,1580.03856 
115,被,1579.32266 
116,给,1548.41116 
117,正,1545.52388 
118,问,1527.49638 
119,打,1518.35990 
120,明,1508.95949 
121,儿,1501.37701 
122,法,1474.18880 
123,才,1461.79733 
124,几,1454.26647 
125,行,1452.17989 
126,三,1447.48522 
127,定,1442.76053 
128,此,1435.98612 
129,进,1425.65332 
130,再,1412.56440 
131,种,1398.03631 
132,将,1385.02219 
133,实,1378.31785 
134,同,1377.36490 
135,最,1360.65225 
136,本,1358.84381 
137,向,1354.33457 
138,分,1353.18513 
139,十,1352.33965 
140,学,1352.00040 
141,高,1351.68381 
142,第,1347.93629 
143,感,1332.30143 
144,怎,1327.65470 
145,神,1322.13720 
146,听,1290.37758 
147,边,1289.88346 
148,作,1284.12996 
149,其,1273.25404 
150,吧,1265.94127 
151,却,1252.64743 
152,口,1251.11713 
153,觉,1249.84021 
154,啊,1246.38611 
155,因,1229.83466 
156,白,1223.29625 
157,次,1215.52413 
158,军,1198.42851 
159,做,1187.88921 
160,外,1177.06491 
161,门,1176.54498 
162,光,1151.38540 
163,风,1145.76465 
164,主,1135.90542 
165,住,1114.07299 
166,果,1109.10070 
167,与,1108.63766 
168,全,1098.44656 
169,二,1092.40070 
170,候,1087.78557 
171,公,1082.60732 
172,相,1073.39919 
173,吗,1068.56808 
174,等,1054.67529 
175,别,1053.96045 
176,色,1047.51002 
177,死,1042.68312 
178,张,1041.56055 
179,部,1038.90452 
180,太,1033.98913 
181,日,1024.58820 
182,少,1022.00698 
183,战,1013.64486 
184,理,1002.94594 
185,直,1002.13733 
186,重,1001.31239 
187,王,996.51710 
188,像,992.18064 
189,脸,972.09712 
190,比,971.48606 
191,快,969.27727 
192,何,959.85158 
193,水,957.65754 
194,名,950.60710 
195,体,948.10595 
196,呢,944.77827 
197,东,939.55050 
198,叫,937.75576 
199,西,937.01721 
200,应,936.30237 
201,便,914.10014 
202,放,911.72330 
203,马,911.03743 
204,难,909.98229 
205,轻,906.30905 
206,更,897.39855 
207,美,891.45225 
208,位,886.51736 
209,关,882.58600 
210,机,880.83024 
211,接,880.43094 
212,先,875.87007 
213,文,862.80011 
214,处,856.90965 
215,并,855.80235 
216,望,855.45995 
217,常,855.33246 
218,完,855.14967 
219,四,841.84951 
220,飞,839.56802 
221,师,833.23559 
222,者,832.86526 
223,安,832.36798 
224,清,826.42115 
225,刚,822.70735 
226,跟,815.22759 
227,月,814.71608 
228,信,805.83824 
229,山,804.36905 
230,爱,798.80993 
231,内,795.19148 
232,龙,795.11931 
233,空,788.09679 
234,带,785.93910 
235,找,777.60490 
236,原,776.13044 
237,入,775.45089 
238,李,770.44173 
239,连,765.43784 
240,吃,761.49489 
241,场,760.26380 
242,平,758.54175 
243,思,757.80953 
244,林,756.08643 
245,变,752.67500 
246,使,745.52131 
247,由,737.80187 
248,受,731.40411 
249,亲,731.34090 
250,命,720.66885 
251,目,719.21914 
252,强,717.13467 
253,男,713.43193 
254,任,713.11744 
255,该,711.84843 
256,路,705.06507 
257,车,704.86753 
258,今,704.60414 
259,海,703.31774 
260,加,700.47207 
261,远,694.87450 
262,活,693.89890 
263,特,692.26798 
264,解,691.17228 
265,电,689.18895 
266,世,687.68815 
267,性,687.25777 
268,表,686.56295 
269,许,684.55802 
270,它,684.06074 
271,立,681.56169 
272,黑,680.70198 
273,金,680.54237 
274,红,675.67491 
275,花,672.79553 
276,转,672.33670 
277,总,670.93705 
278,算,665.42218 
279,城,663.16176 
280,队,661.31171 
281,孩,659.46903 
282,反,658.83584 
283,工,654.38665 
284,始,653.03493 
285,满,652.16574 
286,新,649.01243 
287,兵,646.25684 
288,物,645.43559 
289,离,643.91530 
290,非,642.37868 
291,虽,638.12018 
292,云,635.23026 
293,似,633.72209 
294,万,632.87555 
